CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Kanpur,2765348,12,0,0,1,0,Dec 18 2016,OYO Rooms 80 Feet Road,2128,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,0,0,Dec 21 2016,OYO Rooms 80 Feet Road,2068,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,1,0,Dec 24 2016,OYO Rooms 80 Feet Road,2043,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,1,0,Dec 25 2016,OYO Rooms 80 Feet Road,2043,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,0,0,Dec 28 2016,OYO Rooms 80 Feet Road,2128,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,1,1,Dec 31 2016,OYO Rooms 80 Feet Road,2660,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,0,0,Jan 04 2017,OYO Rooms 80 Feet Road,5853,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,1,0,Jan 08 2017,OYO Rooms 80 Feet Road,5640,3,4,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
Kanpur,2765348,12,0,0,1,0,Dec 18 2016,OYO Rooms Bada Chauraha Civil Lines,2001,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,0,0,Dec 21 2016,OYO Rooms Bada Chauraha Civil Lines,2001,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,1,0,Dec 24 2016,OYO Rooms Bada Chauraha Civil Lines,2001,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,1,0,Dec 25 2016,OYO Rooms Bada Chauraha Civil Lines,2001,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,0,0,Dec 28 2016,OYO Rooms Bada Chauraha Civil Lines,2001,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,1,1,Dec 31 2016,OYO Rooms Bada Chauraha Civil Lines,2501,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,0,0,Jan 04 2017,OYO Rooms Bada Chauraha Civil Lines,5534,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
Kanpur,2765348,12,0,0,1,0,Jan 08 2017,OYO Rooms Bada Chauraha Civil Lines,5534,3,15.4,"Plot No. 16/62, Shri Krishna Tower, Near Income Tax Office, Civil Lines, Kanpur, Uttar Pradesh, 208001, India",208001,3-star Kanpur hotel with conference center,1,1,5,0
