CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Indore,2167447,14,0,0,1,0,Dec 18 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,0,0,Dec 21 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,1,0,Dec 24 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,1,0,Dec 25 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,0,0,Dec 28 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,1,1,Dec 31 2016,Country Inn By Carlson-Indore,4000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,0,0,Jan 04 2017,Country Inn By Carlson-Indore,6000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,1,0,Jan 08 2017,Country Inn By Carlson-Indore,6000,3.5,13,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
Indore,2167447,14,0,0,1,0,Dec 18 2016,Effotel Hotel Indore,4350,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,0,0,Dec 21 2016,Effotel Hotel Indore,4350,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,1,0,Dec 24 2016,Effotel Hotel Indore,4850,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,1,0,Dec 25 2016,Effotel Hotel Indore,3850,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,0,0,Dec 28 2016,Effotel Hotel Indore,3850,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,1,1,Dec 31 2016,Effotel Hotel Indore,3850,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,0,0,Jan 04 2017,Effotel Hotel Indore,4050,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
Indore,2167447,14,0,0,1,0,Jan 08 2017,Effotel Hotel Indore,4050,3.5,14.4,"Plot No 10 C/CA Scheme No 94 Sector C, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with restaurant, bar/lounge",1,1,181,0
