CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Agra,1760285,16,0,1,1,0,Dec 18 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,0,0,Dec 21 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,1,0,Dec 24 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,1,0,Dec 25 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,0,0,Dec 28 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,1,1,Dec 31 2016,ADB Rooms The Light House Agra,2425,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,0,0,Jan 04 2017,ADB Rooms The Light House Agra,2852,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,1,0,Jan 08 2017,ADB Rooms The Light House Agra,2852,3,9.7,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
Agra,1760285,16,0,1,1,0,Dec 18 2016,Agra Regal Vista A sterling Resort,3599,3.5,5.1,"A/C 1/2 Taj Nagri Phase II Agra, Uttar Pradesh, Agra, Uttar Pradesh, India",282001,"3.5-star hotel with outdoor pool, near Taj Mahal",1,1,50,1
Agra,1760285,16,0,1,0,0,Dec 21 2016,Agra Regal Vista A sterling Resort,3329,3.5,5.1,"A/C 1/2 Taj Nagri Phase II Agra, Uttar Pradesh, Agra, Uttar Pradesh, India",282001,"3.5-star hotel with outdoor pool, near Taj Mahal",1,1,50,1
Agra,1760285,16,0,1,1,0,Dec 24 2016,Agra Regal Vista A sterling Resort,6299,3.5,5.1,"A/C 1/2 Taj Nagri Phase II Agra, Uttar Pradesh, Agra, Uttar Pradesh, India",282001,"3.5-star hotel with outdoor pool, near Taj Mahal",1,1,50,1
Agra,1760285,16,0,1,1,0,Dec 25 2016,Agra Regal Vista A sterling Resort,5399,3.5,5.1,"A/C 1/2 Taj Nagri Phase II Agra, Uttar Pradesh, Agra, Uttar Pradesh, India",282001,"3.5-star hotel with outdoor pool, near Taj Mahal",1,1,50,1
