CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Rajkot,1286678,19,0,0,1,0,Dec 18 2016,Comfort Inn Legacy,3324,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,0,0,Dec 21 2016,Comfort Inn Legacy,3324,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,1,0,Dec 24 2016,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,1,0,Dec 25 2016,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,0,0,Dec 28 2016,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,1,1,Dec 31 2016,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,0,0,Jan 04 2017,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,1,0,Jan 08 2017,Comfort Inn Legacy,3149,3,2.1,"Panchnath Main Road, Limda Chowk, Rajkot, Gujarat",360001,3-star Rajkot hotel with restaurant,1,1,38,0
Rajkot,1286678,19,0,0,1,0,Dec 18 2016,Fortune Park JPS Grand,4250,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,0,0,Dec 21 2016,Fortune Park JPS Grand,5100,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,1,0,Dec 24 2016,Fortune Park JPS Grand,4250,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,1,0,Dec 25 2016,Fortune Park JPS Grand,4250,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,0,0,Dec 28 2016,Fortune Park JPS Grand,4000,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,1,1,Dec 31 2016,Fortune Park JPS Grand,4800,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,0,0,Jan 04 2017,Fortune Park JPS Grand,3600,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,1,0,Jan 08 2017,Fortune Park JPS Grand,3600,5,5.6,"150 Feet Ring Road, Near Mavdi Circle, Rajkot, Gujarat",360004,"Luxury hotel in Rajkot with outdoor pool, restaurant",1,1,77,1
Rajkot,1286678,19,0,0,1,0,Dec 18 2016,Heritage Khirasara Palace,4000,4,15,"Kalawad Road, Nr Metoda G.I.D.C., Khirasara (Ranmalji), Rajkot, Gujarat",360021,"4-star hotel in Rajkot with 2 restaurants, outdoor pool",1,1,24,1
Rajkot,1286678,19,0,0,0,0,Dec 21 2016,Heritage Khirasara Palace,4000,4,15,"Kalawad Road, Nr Metoda G.I.D.C., Khirasara (Ranmalji), Rajkot, Gujarat",360021,"4-star hotel in Rajkot with 2 restaurants, outdoor pool",1,1,24,1
Rajkot,1286678,19,0,0,1,0,Dec 24 2016,Heritage Khirasara Palace,4750,4,15,"Kalawad Road, Nr Metoda G.I.D.C., Khirasara (Ranmalji), Rajkot, Gujarat",360021,"4-star hotel in Rajkot with 2 restaurants, outdoor pool",1,1,24,1
Rajkot,1286678,19,0,0,1,0,Dec 25 2016,Heritage Khirasara Palace,7125,4,15,"Kalawad Road, Nr Metoda G.I.D.C., Khirasara (Ranmalji), Rajkot, Gujarat",360021,"4-star hotel in Rajkot with 2 restaurants, outdoor pool",1,1,24,1
