CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Varanasi,1201815,20,0,1,1,0,Dec 18 2016,A Palace On River,6053,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,0,0,Dec 21 2016,A Palace On River,2522,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,1,0,Dec 24 2016,A Palace On River,2522,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,1,0,Dec 25 2016,A Palace On River,2522,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,0,0,Dec 28 2016,A Palace On River,2522,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,1,1,Dec 31 2016,A Palace On River,6053,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,0,0,Jan 04 2017,A Palace On River,6053,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,1,0,Jan 08 2017,A Palace On River,6053,3.5,22,"D, 16/28-A, Manmandir Ghat, Dasaswamedh, Varanasi, Uttar Pradesh",221001,3.5-star Varanasi hotel with restaurant,1,0,16,0
Varanasi,1201815,20,0,1,1,0,Dec 18 2016,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,0,0,Dec 21 2016,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,1,0,Dec 24 2016,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,1,0,Dec 25 2016,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,0,0,Dec 28 2016,Baba Guest House,877,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,1,1,Dec 31 2016,Baba Guest House,877,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,0,0,Jan 04 2017,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,1,0,Jan 08 2017,Baba Guest House,799,2,23,"D 20/15 Munshi Ghat, Near Darbhanga Ghat, Varanasi",221001,A No frill Guest House,1,0,15,0
Varanasi,1201815,20,0,1,1,0,Dec 18 2016,BrijRama Palace,19999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,0,0,Dec 21 2016,BrijRama Palace,24999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,1,0,Dec 24 2016,BrijRama Palace,24999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,1,0,Dec 25 2016,BrijRama Palace,21999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,0,0,Dec 28 2016,BrijRama Palace,24999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,1,1,Dec 31 2016,BrijRama Palace,24999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,0,0,Jan 04 2017,BrijRama Palace,19999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
Varanasi,1201815,20,0,1,1,0,Jan 08 2017,BrijRama Palace,21999,4,22,"Munshi Ghat, Near Dashaswamedh",221001,4 star hotel with free wifi and buffet breakfast,1,1,32,0
