CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Srinagar,1180570,21,0,1,1,0,Dec 18 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,1,0,Dec 21 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,1,0,Dec 24 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,1,0,Dec 25 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,0,0,Dec 28 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,0,1,Dec 31 2016,Hotel Mirage,7059,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,0,0,Jan 04 2017,Hotel Mirage,6118,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,1,0,Jan 08 2017,Hotel Mirage,6118,3,9.2,"New Era School Road, Raj Bagh, Srinagar, Jammu and Kashmir",190008,"3-star hotel in Raj Bagh with restaurant, 24-hour fitness",1,1,17,0
Srinagar,1180570,21,0,1,1,0,Dec 18 2016,Lily of Nageen,3529,4,18.5,"Nageen Lake, Hazratbal (Dargah) Road, Near Nigeen Club, Srinagar, Jammu and Kashmir",190001,"agīn Bāgh ski-in/ski-out houseboat with ski shuttle, ski passes",1,1,2,0
Srinagar,1180570,21,0,1,0,0,Dec 21 2016,Lily of Nageen,3529,4,18.5,"Nageen Lake, Hazratbal (Dargah) Road, Near Nigeen Club, Srinagar, Jammu and Kashmir",190001,"agīn Bāgh ski-in/ski-out houseboat with ski shuttle, ski passes",1,1,2,0
Srinagar,1180570,21,0,1,1,0,Dec 24 2016,Lily of Nageen,3529,4,18.5,"Nageen Lake, Hazratbal (Dargah) Road, Near Nigeen Club, Srinagar, Jammu and Kashmir",190001,"agīn Bāgh ski-in/ski-out houseboat with ski shuttle, ski passes",1,1,2,0
Srinagar,1180570,21,0,1,1,0,Dec 25 2016,Lily of Nageen,3529,4,18.5,"Nageen Lake, Hazratbal (Dargah) Road, Near Nigeen Club, Srinagar, Jammu and Kashmir",190001,"agīn Bāgh ski-in/ski-out houseboat with ski shuttle, ski passes",1,1,2,0
