CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Thiruvanthipuram,744983,24,0,1,1,0,Dec 18 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,0,0,Dec 21 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,1,0,Dec 24 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,1,0,Dec 25 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,0,0,Dec 28 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,1,1,Dec 31 2016,Anantya Resorts,15000,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,0,0,Jan 04 2017,Anantya Resorts,7650,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,1,0,Jan 08 2017,Anantya Resorts,7650,3.5,36,"State Highway 45, Kaliel Village,Kanyakumari District,Chittar Lake,Tamil Nadu,India",629103,"Lakefront hotel in Chittar Lake with outdoor pool, restaurant",1,0,21,1
Thiruvanthipuram,744983,24,0,1,1,0,Dec 18 2016,Beach and Lake Ayurvedic Resort,3658,3,6.9,"Pozhikkara Beach, Pachalloor PO, Thiruvananthapuram, Kerala",695027,"Beach resort in Thiruvananthapuram with spa, outdoor pool",1,1,19,1
Thiruvanthipuram,744983,24,0,1,0,0,Dec 21 2016,Beach and Lake Ayurvedic Resort,3658,3,6.9,"Pozhikkara Beach, Pachalloor PO, Thiruvananthapuram, Kerala",695027,"Beach resort in Thiruvananthapuram with spa, outdoor pool",1,1,19,1
