CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Guwahati,957352,25,0,1,1,0,Dec 18 2016,Cygnett Inn Repose,3800,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,0,0,Dec 21 2016,Cygnett Inn Repose,3800,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,1,0,Dec 24 2016,Cygnett Inn Repose,3800,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,1,0,Dec 25 2016,Cygnett Inn Repose,4300,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,0,0,Dec 28 2016,Cygnett Inn Repose,3800,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,1,1,Dec 31 2016,Cygnett Inn Repose,3800,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,0,0,Jan 04 2017,Cygnett Inn Repose,6500,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,1,0,Jan 08 2017,Cygnett Inn Repose,6500,3.5,25,"ABC G.S. Road Tarun Nagar 2nd By-Lane, Guwahati, Assam",781005,"3.5-star hotel in Guwahati with restaurant, bar/lounge",1,1,41,0
Guwahati,957352,25,0,1,1,0,Dec 18 2016,Hotel Gateway Grandeur,4860,3,25,"G.S. Road, Christianbasti, Guwahati, Assam,",781005,"3-star hotel in Guwahati with 2 restaurants, spa",1,1,49,1
Guwahati,957352,25,0,1,0,0,Dec 21 2016,Hotel Gateway Grandeur,4860,3,25,"G.S. Road, Christianbasti, Guwahati, Assam,",781005,"3-star hotel in Guwahati with 2 restaurants, spa",1,1,49,1
