CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Kochi,595575,17,0,1,1,0,Dec 18 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,0,0,Dec 21 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,1,0,Dec 24 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,1,0,Dec 25 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,0,0,Dec 28 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,1,1,Dec 31 2016,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,0,0,Jan 04 2017,Abad Atrium,4538,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,17,0,1,0,0,Jan 08 2017,Abad Atrium,3919,3,23,"M.G. Road, Cochin, Kerala, 682035 India",682035,"3-star hotel in Cochin with outdoor pool, restaurant",1,1,52,1
Kochi,595575,28,0,1,1,0,Dec 18 2016,Abad Metro,2310,3,23,"Rajaji Road, Off. M.G. Road, Ernakulam, Cochin, Kerala, India",682035,No-frills Cochin hotel with restaurant,1,0,37,0
Kochi,595575,28,0,1,0,0,Dec 21 2016,Abad Metro,1485,3,23,"Rajaji Road, Off. M.G. Road, Ernakulam, Cochin, Kerala, India",682035,No-frills Cochin hotel with restaurant,1,0,37,0
Kochi,595575,28,0,1,1,0,Dec 24 2016,Abad Metro,1485,3,23,"Rajaji Road, Off. M.G. Road, Ernakulam, Cochin, Kerala, India",682035,No-frills Cochin hotel with restaurant,1,0,37,0
Kochi,595575,28,0,1,1,0,Dec 25 2016,Abad Metro,1485,3,23,"Rajaji Road, Off. M.G. Road, Ernakulam, Cochin, Kerala, India",682035,No-frills Cochin hotel with restaurant,1,0,37,0
