CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Chennai,7088416,3,1,0,1,0,Dec 18 2016,Accord Metropolitan,4000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,0,0,Dec 21 2016,Accord Metropolitan,4000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,1,0,Dec 24 2016,Accord Metropolitan,4000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,1,0,Dec 25 2016,Accord Metropolitan,4000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,0,0,Dec 28 2016,Accord Metropolitan,5000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,1,1,Dec 31 2016,Accord Metropolitan,5000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,0,0,Jan 4 2017,Accord Metropolitan,5000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,1,0,Jan 8 2017,Accord Metropolitan,5000,4,11,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
Chennai,7088416,3,1,0,1,0,Dec 18 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,0,0,Dec 21 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,1,0,Dec 24 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,1,0,Dec 25 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,0,0,Dec 28 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,1,1,Dec 31 2016,Avnb Towers,1200,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,0,0,Jan 4 2017,Avnb Towers,1600,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,1,0,0,0,Jan 8 2017,Avnb Towers,1600,2.5,2.6,"No 7 Dharga Road, Pallavaram, Chennai, Tamil Nadu, 600043 India",600043,No-frills hotel in Pallavaram,1,0,17,0
Chennai,7088416,3,0,1,1,0,Dec 18 2016,Clarion Hotel Chennai,2864,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,0,0,Dec 21 2016,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,1,0,Dec 24 2016,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,1,0,Dec 25 2016,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,0,0,Dec 28 2016,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,1,1,Dec 31 2016,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,0,0,Jan 4 2017,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
Chennai,7088416,3,0,1,1,0,Jan 8 2017,Clarion Hotel Chennai,2714,4,13,"25, Dr. Radhakrishnan Salai, Chennai, Tamil Nadu, India",600004,"4-star hotel in Mylapore with outdoor pool, restaurant",0,1,129,1
