CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Haridwar,1447187,32,0,1,1,0,Dec 18 2016,EllBee Ganga View,5450,4,20,"355 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,0,0,Dec 21 2016,EllBee Ganga View,5450,4,20,"356 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,1,0,Dec 24 2016,EllBee Ganga View,5450,4,20,"357 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,1,0,Dec 25 2016,EllBee Ganga View,5450,4,20,"358 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,0,0,Dec 28 2016,EllBee Ganga View,5450,4,20,"359 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,1,1,Dec 31 2016,EllBee Ganga View,6600,4,20,"360 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,0,0,Jan 04 2017,EllBee Ganga View,5450,4,20,"361 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,1,0,Jan 08 2017,EllBee Ganga View,5450,4,20,"362 Haridwar Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with restaurant, conference center",1,1,32,0
Haridwar,1447187,32,0,1,1,0,Dec 18 2016,Ganga Kinare - A Riverside Boutique Hotel,4700,4,20,"237, Veerbhadra Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with 2 restaurants, spa",1,1,31,0
Haridwar,1447187,32,0,1,0,0,Dec 21 2016,Ganga Kinare - A Riverside Boutique Hotel,4700,4,20,"237, Veerbhadra Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with 2 restaurants, spa",1,1,31,0
Haridwar,1447187,32,0,1,1,0,Dec 24 2016,Ganga Kinare - A Riverside Boutique Hotel,5202,4,20,"237, Veerbhadra Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with 2 restaurants, spa",1,1,31,0
Haridwar,1447187,32,0,1,1,0,Dec 25 2016,Ganga Kinare - A Riverside Boutique Hotel,5202,4,20,"237, Veerbhadra Road, Rishikesh, Uttarakhand, 249201, India",249201,"4-star hotel in Rishikesh with 2 restaurants, spa",1,1,31,0
