CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Shimla,169578,34,0,1,1,0,Dec 18 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,0,0,Dec 21 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,1,0,Dec 24 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,1,0,Dec 25 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,0,0,Dec 28 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,1,1,Dec 31 2016,Aditya Home Stay,3999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,0,0,Jan 04 2017,Aditya Home Stay,2999,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,1,0,Jan 08 2017,Aditya Home Stay,3249,3.5,21.4,"Shoghi, Shimla",171219,"Family hotel in Shoghi with restaurant, conference center",1,1,4,0
Shimla,169578,34,0,1,1,0,Dec 18 2016,OYO Rooms Mall Road,1702,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,0,0,Dec 21 2016,OYO Rooms Mall Road,1702,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,1,0,Dec 24 2016,OYO Rooms Mall Road,2639,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,1,0,Dec 25 2016,OYO Rooms Mall Road,2639,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,0,0,Dec 28 2016,OYO Rooms Mall Road,2639,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,1,1,Dec 31 2016,OYO Rooms Mall Road,2639,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,0,0,Jan 04 2017,OYO Rooms Mall Road,2639,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,1,0,Jan 08 2017,OYO Rooms Mall Road,1702,3,20.3," H.P. High Court Mall Road, Shimla",171001,Shimla hotel next to shopping,1,1,5,0
Shimla,169578,34,0,1,1,0,Dec 18 2016,Hotel Chail Residency,2000,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,0,0,Dec 21 2016,Hotel Chail Residency,2000,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,1,0,Dec 24 2016,Hotel Chail Residency,4150,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,1,0,Dec 25 2016,Hotel Chail Residency,2350,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,0,0,Dec 28 2016,Hotel Chail Residency,2350,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,1,1,Dec 31 2016,Hotel Chail Residency,4150,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,0,0,Jan 04 2017,Hotel Chail Residency,2000,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,1,0,Jan 08 2017,Hotel Chail Residency,2000,2.5,63.6,"Chail Road, Chail,Shimla",173217,Mountain Chail hotel with restaurant,0,1,8,0
Shimla,169578,34,0,1,1,0,Dec 18 2016,Hotel Springfields,5800,3,25.7,"Chotta Shim, HP, Shimla",171002,"3-star hotel in Chhota Shimla with restaurant, bar/lounge",1,0,10,0
Shimla,169578,34,0,1,0,0,Dec 21 2016,Hotel Springfields,5800,3,25.7,"Chotta Shim, HP, Shimla",171002,"3-star hotel in Chhota Shimla with restaurant, bar/lounge",1,0,10,0
Shimla,169578,34,0,1,1,0,Dec 24 2016,Hotel Springfields,6300,3,25.7,"Chotta Shim, HP, Shimla",171002,"3-star hotel in Chhota Shimla with restaurant, bar/lounge",1,0,10,0
