CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Darjeeling,132016,36,0,1,1,0,Dec 18 2016,Central Heritage,4550,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,0,0,Dec 21 2016,Central Heritage,5200,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,1,0,Dec 24 2016,Central Heritage,5200,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,1,0,Dec 25 2016,Central Heritage,5200,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,0,0,Dec 28 2016,Central Heritage,5200,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,1,1,Dec 31 2016,Central Heritage,5200,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,0,0,Jan 04 2017,Central Heritage,3900,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,1,0,Jan 08 2017,Central Heritage,3900,3.5,40,"Robertson Road, Darjeeling, West Bengal, 734101 India",734101,"3.5-star hotel in Darjeeling with bar/lounge, children's club",1,1,46,0
Darjeeling,132016,36,0,1,1,0,Dec 18 2016,Central Nirvana,5800,3,41,"C.R. Das Road,, Below Chowrasta (The Mall), Darjeeling, 734101, India",734101,"3-star hotel in Darjeeling with restaurant, bar/lounge",1,1,23,0
Darjeeling,132016,36,0,1,0,0,Dec 21 2016,Central Nirvana,6800,3,41,"C.R. Das Road,, Below Chowrasta (The Mall), Darjeeling, 734101, India",734101,"3-star hotel in Darjeeling with restaurant, bar/lounge",1,1,23,0
Darjeeling,132016,36,0,1,1,0,Dec 24 2016,Central Nirvana,6800,3,41,"C.R. Das Road,, Below Chowrasta (The Mall), Darjeeling, 734101, India",734101,"3-star hotel in Darjeeling with restaurant, bar/lounge",1,1,23,0
Darjeeling,132016,36,0,1,1,0,Dec 25 2016,Central Nirvana,6800,3,41,"C.R. Das Road,, Below Chowrasta (The Mall), Darjeeling, 734101, India",734101,"3-star hotel in Darjeeling with restaurant, bar/lounge",1,1,23,0
Darjeeling,132016,36,0,1,0,0,Dec 28 2016,Central Nirvana,6800,3,41,"C.R. Das Road,, Below Chowrasta (The Mall), Darjeeling, 734101, India",734101,"3-star hotel in Darjeeling with restaurant, bar/lounge",1,1,23,0
