CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Gangtok,98658,38,0,1,1,0,Dec 18 2016,Central Hill Resort Gangtok,2520,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,0,0,Dec 21 2016,Central Hill Resort Gangtok,2880,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,1,0,Dec 24 2016,Central Hill Resort Gangtok,2880,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,1,0,Dec 25 2016,Central Hill Resort Gangtok,2880,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,0,0,Dec 28 2016,Central Hill Resort Gangtok,2880,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,1,1,Dec 31 2016,Central Hill Resort Gangtok,2880,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,0,0,Jan 04 2017,Central Hill Resort Gangtok,2520,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,1,0,Jan 08 2017,Central Hill Resort Gangtok,2520,3,124,"Opp. Super Market, 31-A, National Highway, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,28,0
Gangtok,98658,38,0,1,1,0,Dec 18 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,0,0,Dec 21 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,1,0,Dec 24 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,1,0,Dec 25 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,0,0,Dec 28 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,1,1,Dec 31 2016,Club Mahindra Gangtok,5500,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,0,0,Jan 04 2017,Club Mahindra Gangtok,4675,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,1,0,Jan 08 2017,Club Mahindra Gangtok,4675,3,124,"GRBA Road, Chongeyk, Gangtok, Sikkim",737103,"Mountain hotel in Gangtok with 2 restaurants, bar/lounge",0,0,32,0
Gangtok,98658,38,0,1,1,0,Dec 18 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,4409,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,0,0,Dec 21 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,4292,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,1,0,Dec 24 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,8099,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,1,0,Dec 25 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,8099,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,0,0,Dec 28 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,8909,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,1,1,Dec 31 2016,Gangtok Delisso Abode -A Sterling Holiday Resort,8909,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,0,0,Jan 04 2017,Gangtok Delisso Abode -A Sterling Holiday Resort,3239,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,1,0,Jan 08 2017,Gangtok Delisso Abode -A Sterling Holiday Resort,8909,3,124,"Development Area, Beside S.N.T Head Office, Gangtok, India",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,0,27,0
Gangtok,98658,38,0,1,1,0,Dec 18 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,0,0,Dec 21 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,1,0,Dec 24 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,1,0,Dec 25 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,0,0,Dec 28 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,1,1,Dec 31 2016,Hotel Mayal Retreat,2467,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
Gangtok,98658,38,0,1,0,0,Jan 04 2017,Hotel Mayal Retreat,1660,3,124,"Lower Burtuk Road, Gangtok, Sikkim",737101,"3-star hotel in Gangtok with restaurant, bar/lounge",1,1,27,0
