CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Nainital,41377,42,0,1,1,0,Dec 18 2016,Alpine Club,3960,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,0,0,Dec 21 2016,Alpine Club,3960,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,1,0,Dec 24 2016,Alpine Club,4400,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,1,0,Dec 25 2016,Alpine Club,4400,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,0,0,Dec 28 2016,Alpine Club,4400,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,1,1,Dec 31 2016,Alpine Club,4400,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,0,0,Jan 04 2017,Alpine Club,3960,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,1,0,Jan 08 2017,Alpine Club,3960,3,65,"Ayarpatta Hills, Near Aurbindo Ashram, Barapatthar, Nainital",263001,"3-star hotel in Nainital with restaurant, conference center",1,0,18,0
Nainital,41377,42,0,1,1,0,Dec 18 2016,Club Mahindra Naukuchiatal,4250,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,0,0,Dec 21 2016,Club Mahindra Naukuchiatal,4250,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,1,0,Dec 24 2016,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,1,0,Dec 25 2016,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,0,0,Dec 28 2016,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,1,1,Dec 31 2016,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,0,0,Jan 04 2017,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,1,0,Jan 08 2017,Club Mahindra Naukuchiatal,4999,3,65,"Village: Bohra Gaon Post, Naukuchiyatal, Uttarakhand",263136,"Mountain hotel in Naukuchiyatal with restaurant, bar/lounge",1,0,30,0
Nainital,41377,42,0,1,1,0,Dec 18 2016,Hotel Arif Castles,6601,3.5,65,"Mallital, Nainital, Uttarakhand",263001,"3.5-star hotel in Nainital with spa, restaurant",0,1,66,0
Nainital,41377,42,0,1,0,0,Dec 21 2016,Hotel Arif Castles,6601,3.5,65,"Mallital, Nainital, Uttarakhand",263001,"3.5-star hotel in Nainital with spa, restaurant",0,1,66,0
