CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Munnar,38471,43,0,1,1,0,Dec 18 2016,Abad Copper Castle,8457,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,0,0,Dec 21 2016,Abad Copper Castle,5776,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,1,0,Dec 24 2016,Abad Copper Castle,7632,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,1,0,Dec 25 2016,Abad Copper Castle,8457,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,0,0,Dec 28 2016,Abad Copper Castle,8457,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,1,1,Dec 31 2016,Abad Copper Castle,8457,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,0,0,Jan 04 2017,Abad Copper Castle,5157,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,1,0,Jan 08 2017,Abad Copper Castle,5157,3,105,"Kannan Devan Hills, Munnar",685612,Mountain Munnar hotel with restaurant,1,1,38,0
Munnar,38471,43,0,1,1,0,Dec 18 2016,Aruvi Resorts,4400,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,0,0,Dec 21 2016,Aruvi Resorts,4400,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,1,0,Dec 24 2016,Aruvi Resorts,3900,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,1,0,Dec 25 2016,Aruvi Resorts,4400,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,0,0,Dec 28 2016,Aruvi Resorts,3900,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,1,1,Dec 31 2016,Aruvi Resorts,3900,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,0,0,Jan 04 2017,Aruvi Resorts,3044,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,1,0,Jan 08 2017,Aruvi Resorts,2627,3,96.5,"Thekkinkanam,,Munnar,Kerala,India",685566,"Riverfront hotel in Munnar with restaurant, bar/lounge",1,1,9,0
Munnar,38471,43,0,1,1,0,Dec 18 2016,Ayur County,4412,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,0,0,Dec 21 2016,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,1,0,Dec 24 2016,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,1,0,Dec 25 2016,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,0,0,Dec 28 2016,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,1,1,Dec 31 2016,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,0,0,Jan 04 2017,Ayur County,6955,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,1,0,Jan 08 2017,Ayur County,4557,3,117.4,"Chinnakanal,,Munnar,Kerala,India",685618,"Mountain hotel in Munnar with 2 restaurants, outdoor pool",1,1,150,0
Munnar,38471,43,0,1,1,0,Dec 18 2016,Blackberry Hills Retreat & Spa,7130,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,0,0,Dec 21 2016,Blackberry Hills Retreat & Spa,7130,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,1,0,Dec 24 2016,Blackberry Hills Retreat & Spa,7130,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,1,0,Dec 25 2016,Blackberry Hills Retreat & Spa,13384,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,0,0,Dec 28 2016,Blackberry Hills Retreat & Spa,13384,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,1,1,Dec 31 2016,Blackberry Hills Retreat & Spa,13384,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,0,0,Jan 04 2017,Blackberry Hills Retreat & Spa,7130,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,1,0,Jan 08 2017,Blackberry Hills Retreat & Spa,6025,4,105,"Bison Valley Road, Pothamedu View Point, Munnar",685612,"Mountain hotel in Chithirapuram with spa, restaurant",1,1,16,0
Munnar,38471,43,0,1,1,0,Dec 18 2016,Club Mahindra Mount Serene,6999,3.5,105,"Chinnakanal Village, Suryanelli(Via), Munnar",685618,3.5-star Munnar hotel with restaurant,1,0,51,0
