CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Ahmedabad,5577940,5,0,0,1,0,Dec 18 2016,OYO Premium Shahibaug Airport Road,9792,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Dec 21 2016,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Dec 24 2016,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Dec 25 2016,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Dec 28 2016,OYO Premium Shahibaug Airport Road,9792,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,1,Dec 31 2016,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Jan 04 2017,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Jan 08 2017,OYO Premium Shahibaug Airport Road,9898,3,3.6,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
Ahmedabad,5577940,5,0,0,1,0,Dec 18 2016,OYO Premium Law Garden C G Road,3150,3,7.8,Law Garden Cross Road,380009,Ahmedabad City Centre hotel in shopping district,1,1,15,0
Ahmedabad,5577940,5,0,0,0,0,Dec 21 2016,OYO Premium Law Garden C G Road,3619,3,7.8,Law Garden Cross Road,380009,Ahmedabad City Centre hotel in shopping district,1,1,15,0
