CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Kolkata,4496694,6,1,1,1,0,Dec 18 2016,662B THE GUEST HOUSE,3500,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,0,0,Dec 21 2016,662B THE GUEST HOUSE,2300,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,1,0,Dec 24 2016,662B THE GUEST HOUSE,2300,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,1,0,Dec 25 2016,662B THE GUEST HOUSE,3500,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,0,0,Dec 28 2016,662B THE GUEST HOUSE,2300,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,1,1,Dec 31 2016,662B THE GUEST HOUSE,3500,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,0,0,Jan 04 2017,662B THE GUEST HOUSE,3500,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,1,1,0,Jan 08 2017,662B THE GUEST HOUSE,3500,2,17,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
Kolkata,4496694,6,1,0,1,0,Dec 18 2016,Celesta Kolkata,3700,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,0,0,Dec 21 2016,Celesta Kolkata,5250,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,1,0,Dec 24 2016,Celesta Kolkata,5250,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,1,0,Dec 25 2016,Celesta Kolkata,3400,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,0,0,Dec 28 2016,Celesta Kolkata,3400,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,1,1,Dec 31 2016,Celesta Kolkata,3400,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,0,0,Jan 04 2017,Celesta Kolkata,3400,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,1,0,Jan 08 2017,Celesta Kolkata,3400,3.5,4,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India",700059,3.5-star hotel,1,1,39,0
Kolkata,4496694,6,1,0,1,0,Dec 18 2016,Coral Residency CL 36 Sector 2,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,0,0,Dec 21 2016,Coral Residency CL 36 Sector 3,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,1,0,Dec 24 2016,Coral Residency CL 36 Sector 4,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,1,0,Dec 25 2016,Coral Residency CL 36 Sector 5,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,0,0,Dec 28 2016,Coral Residency CL 36 Sector 6,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,1,1,Dec 31 2016,Coral Residency CL 36 Sector 7,1299,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,0,0,Jan 04 2017,Coral Residency CL 36 Sector 8,2100,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,0,1,0,Jan 08 2017,Coral Residency CL 36 Sector 9,2100,3,7.4,"CL 36 Sector 2, Near Tank# 9, Salt Lake, Kolkata, West Bengal, 700106, India",700106,3-star guesthouse,1,1,11,0
Kolkata,4496694,6,1,1,1,0,Dec 18 2016,Fabhotel Arya International Elgin Road,1759,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,0,0,Dec 21 2016,Fabhotel Arya International Elgin Road,1759,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,1,0,Dec 24 2016,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,1,0,Dec 25 2016,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,0,0,Dec 28 2016,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,1,1,Dec 31 2016,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,0,0,Jan 04 2017,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,1,1,0,Jan 08 2017,Fabhotel Arya International Elgin Road,1839,3,15,"2, Ray Street (ELGIN ROAD)",700021,"3-star hotel with outdoor pool, near Victoria Memorial",1,0,100,1
Kolkata,4496694,6,1,0,1,0,Dec 18 2016,Fabhotel Tulip Salt Lake Sec-2,2106,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,0,0,Dec 21 2016,Fabhotel Tulip Salt Lake Sec-2,2032,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,1,0,Dec 24 2016,Fabhotel Tulip Salt Lake Sec-2,2106,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,1,0,Dec 25 2016,Fabhotel Tulip Salt Lake Sec-2,2106,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,0,0,Dec 28 2016,Fabhotel Tulip Salt Lake Sec-2,1996,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,1,1,Dec 31 2016,Fabhotel Tulip Salt Lake Sec-2,2032,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
Kolkata,4496694,6,1,0,0,0,Jan 04 2017,Fabhotel Tulip Salt Lake Sec-2,1996,3,7.2,BL 220 Sector II,700091,3-star inn with restaurant near Salt Lake Stadium,0,0,5,0
