CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Surat,4467797,7,0,0,1,0,Dec 18 2016,Best Western Yuvraj,2480,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,0,0,Dec 21 2016,Best Western Yuvraj,2780,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,1,0,Dec 24 2016,Best Western Yuvraj,2780,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,1,0,Dec 25 2016,Best Western Yuvraj,2780,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,0,0,Dec 28 2016,Best Western Yuvraj,2780,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,1,1,Dec 31 2016,Best Western Yuvraj,2480,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,0,0,Jan 04 2017,Best Western Yuvraj,2780,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,1,0,Jan 08 2017,Best Western Yuvraj,2480,4,17,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
Surat,4467797,7,0,0,1,0,Dec 18 2016,Budget Inn Bellevue,2899,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,0,0,Dec 21 2016,Budget Inn Bellevue,3499,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,1,0,Dec 24 2016,Budget Inn Bellevue,2899,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,1,0,Dec 25 2016,Budget Inn Bellevue,2899,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,0,0,Dec 28 2016,Budget Inn Bellevue,3499,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,1,1,Dec 31 2016,Budget Inn Bellevue,2899,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,0,0,Jan 04 2017,Budget Inn Bellevue,3499,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,1,0,Jan 08 2017,Budget Inn Bellevue,2899,3,18,"Sumul Dairy Road, Near Railway Station, Surat",395008,3-star Surat hotel with restaurant,1,1,44,0
Surat,4467797,7,0,0,1,0,Dec 18 2016,HOTEL ORANGE INTERNATIONAL,4465,4,14,"Railway Station Main Road, Next to Mohan Mithai, Surat",395003,3.5-star Surat hotel with restaurant,1,1,52,0
