CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Pune,3124458,8,0,0,1,0,Dec 18 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,0,0,Dec 21 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,1,0,Dec 24 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,1,0,Dec 25 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,0,0,Dec 28 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,1,1,Dec 31 2016,14 Square Amanora,1960,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,0,0,Jan 04 2017,14 Square Amanora,3060,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,1,0,Jan 08 2017,14 Square Amanora,3060,2,7.3,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
Pune,3124458,8,0,0,1,0,Dec 18 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,0,0,Dec 21 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,1,0,Dec 24 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,1,0,Dec 25 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,0,0,Dec 28 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,1,1,Dec 31 2016,14 Square Serviced Apartments Magarpatta,2100,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,0,0,Jan 04 2017,14 Square Serviced Apartments Magarpatta,1600,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,1,0,Jan 08 2017,14 Square Serviced Apartments Magarpatta,1600,2,8.3,"Plot no 25, Gulmohar, Bhosle Nagar, Hadapsar, Pune, Maharashtra, India",411028,"Pune apartment with kitchenette, balcony",1,1,5,0
Pune,3124458,8,0,0,1,0,Dec 18 2016,Amigo Serviced Apartments - Baner,2460,2,14,"Plot No.-23,Survey No-87, Behind Ganraj Mangal Karyalya, Baner, Pune, Maharashtra, India",411027,No-frills apartment in Baner,1,1,12,0
Pune,3124458,8,0,0,0,0,Dec 21 2016,Amigo Serviced Apartments - Baner,2460,2,14,"Plot No.-23,Survey No-87, Behind Ganraj Mangal Karyalya, Baner, Pune, Maharashtra, India",411027,No-frills apartment in Baner,1,1,12,0
Pune,3124458,8,0,0,1,0,Dec 24 2016,Amigo Serviced Apartments - Baner,2460,2,14,"Plot No.-23,Survey No-87, Behind Ganraj Mangal Karyalya, Baner, Pune, Maharashtra, India",411027,No-frills apartment in Baner,1,1,12,0
