CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Jaipur,3046163,9,0,1,1,0,Dec 18 2016,OYO Rooms Raja Park,851,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Dec 21 2016,OYO Rooms Raja Park,851,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 24 2016,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 25 2016,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Dec 28 2016,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,1,1,Dec 31 2016,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Jan 04 2017,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Jan 08 2017,OYO Rooms Raja Park,1106,3,7.7,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 18 2016,Rawla Rawatsar,2000,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Dec 21 2016,Rawla Rawatsar,2000,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 24 2016,Rawla Rawatsar,4300,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 25 2016,Rawla Rawatsar,3900,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Dec 28 2016,Rawla Rawatsar,4300,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,1,1,Dec 31 2016,Rawla Rawatsar,2000,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,0,0,Jan 04 2017,Rawla Rawatsar,2000,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Jan 08 2017,Rawla Rawatsar,2000,3.5,12,"D-194-A Jagdish Marg, Bani Park, Behind Sindhi Camp bus station, Jaipur, Rajasthan, India",302016,3.5-star Jaipur B&B with restaurant,1,1,8,0
Jaipur,3046163,9,0,1,1,0,Dec 18 2016,Gitanjali Jaipur,3200,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,0,0,Dec 21 2016,Gitanjali Jaipur,3200,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,1,0,Dec 24 2016,Gitanjali Jaipur,3620,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,1,0,Dec 25 2016,Gitanjali Jaipur,3620,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,0,0,Dec 28 2016,Gitanjali Jaipur,3620,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,1,1,Dec 31 2016,Gitanjali Jaipur,3620,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,0,0,Jan 04 2017,Gitanjali Jaipur,4500,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,1,0,Jan 08 2017,Gitanjali Jaipur,3000,3,11,"D-98 Pawan Path, Hanuman Nagar, Vaishali Nagar",302021,"3-star hotel in Jaipur with restaurant, conference center",1,0,14,0
Jaipur,3046163,9,0,1,1,0,Dec 18 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,0,0,Dec 21 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,1,0,Dec 24 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,1,0,Dec 25 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,0,0,Dec 28 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,1,1,Dec 31 2016,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,0,0,Jan 04 2017,The Gateway Hotel Ramgarh,21000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,1,0,Jan 08 2017,The Gateway Hotel Ramgarh,10000,4,35,"The Ramgarh Lake,Jamwa Ramgarh",303109,"4-star hotel in Gop?lgarh with outdoor pool, restaurant",1,0,14,1
Jaipur,3046163,9,0,1,1,0,Dec 18 2016,Oyo premiuim Delhi Jaipur Highway,2128,3,27.2,"Opp. Golden Petrol Pump, Peepliyon ki dhaani, Kunda, Amer",302028,"3-star hotel in Amer with restaurant, conference center",1,1,15,1
Jaipur,3046163,9,0,1,0,0,Dec 21 2016,Oyo premiuim Delhi Jaipur Highway,2554,3,27.2,"Opp. Golden Petrol Pump, Peepliyon ki dhaani, Kunda, Amer",302028,"3-star hotel in Amer with restaurant, conference center",1,1,15,1
Jaipur,3046163,9,0,1,1,0,Dec 24 2016,Oyo premiuim Delhi Jaipur Highway,4683,3,27.2,"Opp. Golden Petrol Pump, Peepliyon ki dhaani, Kunda, Amer",302028,"3-star hotel in Amer with restaurant, conference center",1,1,15,1
Jaipur,3046163,9,0,1,1,0,Dec 25 2016,Oyo premiuim Delhi Jaipur Highway,4683,3,27.2,"Opp. Golden Petrol Pump, Peepliyon ki dhaani, Kunda, Amer",302028,"3-star hotel in Amer with restaurant, conference center",1,1,15,1
